code_ies,name_ies,initials,county,state,academic_organization,category,url
452,CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS (CEULM/ULBRA),CEULM/ULBRA,Manaus,AM,Centro Universitário,Privada,www.ulbra.br/manaus
1436,ESCOLA SUPERIOR BATISTA DO AMAZONAS (ESBAM),ESBAM,Manaus,AM,Faculdade,Privada,www.esbam.edu.br
21592,FACULDADE AMAZONAS,-,Manacapuru,AM,Faculdade,Privada,http://www.faculdadeamazonas.com.br/
3397,"FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS, SOCIAIS E BIOTECNOLÓGICAS (FBNCTSB)",FBNCTSB,Manaus,AM,Faculdade,Privada,www.fbnovas.edu.br
1592,FACULDADE DE ODONTOLOGIA DE MANAUS (FOM),FOM,Manaus,AM,Faculdade,Privada,www.fom.edu.br
15135,FACULDADE DE TECNOLOGIA SENAC AMAZONAS,-,Manaus,AM,Faculdade,Privada,www.am.senac.br/faculdade
1638,FACULDADE DO AMAZONAS (IAES),IAES,Manaus,AM,Faculdade,Privada,www.iaes.com.br
22246,"Faculdade do Amazonas de Ensino, Pesquisa e Inovação (FAMEPI)",FAMEPI,Manaus,AM,Faculdade,Privada,http://fundacaomatiasmachline.org.br/
4277,FACULDADE ESTÁCIO DO AMAZONAS - ESTÁCIO AMAZONAS (ESTÁCIO AMAZONAS),ESTÁCIO AMAZONAS,Manaus,AM,Faculdade,Privada,www.literatus.edu.br
2676,FACULDADE LA SALLE,-,Manaus,AM,Faculdade,Privada,www.lasalle.edu.br/faculdade/manaus
1381,Faculdade Martha Falcão Wyden (FMF Wyden),FMF Wyden,Manaus,AM,Faculdade,Privada,https://www.wyden.com.br/fmf
21819,FACULDADE REGIONAL DO AMAZONAS (FAM),FAM,Manaus,AM,Faculdade,Privada,www.fam-edu.com.br
2186,FACULDADE SALESIANA DOM BOSCO (FSDB),FSDB,Manaus,AM,Faculdade,Privada,http://www.fsdb.edu.br
18684,Faculdade Santa Teresa,-,Manaus,AM,Faculdade,Privada,http://www.faculdadesantateresa.edu.br/
20651,Faculdades IDAAM (IDAAM),IDAAM,Manaus,AM,Faculdade,Privada,www.idaam.edu.br
24211,Instituto Amazônico de Ensino Superior (IAMES),IAMES,Manaus,AM,Faculdade,Privada,www.iames.edu.br
2436,Instituto de Ensino Superior Brasileiro (ESB),ESB,Manaus,AM,Faculdade,Privada,esb.edu.br
1049,INSTITUTO DE ENSINO SUPERIOR FUCAPI (CESF),CESF,Manaus,AM,Faculdade,Privada,www.fucapi.br
1906,INSTITUTO DE ENSINO SUPERIOR MATERDEI (IES-MATERDEI),IES-MATERDEI,Manaus,AM,Faculdade,Privada,www.iesmaterdei.com.br
1812,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS (IFAM)",IFAM,Manaus,AM,"Instituto Federal de Educação, Ciência e Tecnologia",Publica,http://www2.ifam.edu.br/
24548,ITPAC ITACOATIARA (ITPAC ITA),ITPAC ITA,Itacoatiara,AM,Faculdade,Privada,www.itacoatiara.afya.com.br
24551,ITPAC MANACAPURU (ITPAC MANACA),ITPAC MANACA,Manacapuru,AM,Faculdade,Privada,www.itpacmanacapuru.afya.com.br
3172,UNIVERSIDADE DO ESTADO DO AMAZONAS (UEA),UEA,Manaus,AM,Universidade,Publica,www.uea.edu.br
4,UNIVERSIDADE FEDERAL DO AMAZONAS (UFAM),UFAM,Manaus,AM,Universidade,Publica,www.ufam.edu.br
669,UNIVERSIDADE NILTON LINS (UNINILTONLINS),UNINILTONLINS,Manaus,AM,Universidade,Privada,www.niltonlins.br
861,CENTRO DE ENSINO SUPERIOR DO AMAPÁ (CEAP),CEAP,Macapá,AP,Faculdade,Privada,www.ceap.br
3977,FACULDADE DE TECNOLOGIA DO AMAPÁ (META),META,Macapá,AP,Faculdade,Privada,www.meta.edu.br
2069,FACULDADE DE TEOLOGIA E CIÊNCIAS HUMANAS (FATECH),FATECH,Macapá,AP,Faculdade,Privada,faculdadefatech.com.br
2380,Faculdade Estácio do Amapá - Estácio Amapá (ESTÁCIO AMAPÁ),ESTÁCIO AMAPÁ,Macapá,AP,Faculdade,Privada,www.estacio.br
1591,FACULDADE ESTÁCIO MACAPÁ - ESTÁCIO MACAPÁ (ESTÁCIO MACAPÁ),ESTÁCIO MACAPÁ,Macapá,AP,Faculdade,Privada,portal.estacio.br/unidades
3769,FACULDADE MADRE TEREZA (FAMAT),FAMAT,Santana,AP,Faculdade,Privada,http://www.grupomadretereza.com.br
1823,INSTITUTO DE ENSINO SUPERIOR DO AMAPÁ (IESAP),IESAP,Macapá,AP,Faculdade,Privada,www.iesap.edu.br
15522,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ (IFAP)",IFAP,Macapá,AP,"Instituto Federal de Educação, Ciência e Tecnologia",Publica,www.ifap.edu.br
2469,INSTITUTO MACAPAENSE DE ENSINO SUPERIOR (IMMES),IMMES,Macapá,AP,Faculdade,Privada,www.immes.com.br
18672,Unama Faculdade da Amazônia de Macapá,-,Macapá,AP,Faculdade,Privada,www.mauriciodenassau.edu.br
5701,UNIVERSIDADE DO ESTADO DO AMAPÁ (UEAP),UEAP,Macapá,AP,Universidade,Publica,www.ueap.edu.br
830,UNIVERSIDADE FEDERAL DO AMAPÁ (UNIFAP),UNIFAP,Macapá,AP,Universidade,Publica,www.unifap.br
2771,CENTRO DE ENSINO SUPERIOR DE ILHÉUS (CESUPI),CESUPI,Ilhéus,BA,Faculdade,Privada,www.faculdadedeilheus.com.br
1364,CENTRO UNIVERSIÁRIO UNIFTC,-,Vitória da Conquista,BA,Centro Universitário,Privada,www.ftc.br
1053,CENTRO UNIVERSIÁRIO UNIFTC DE FEIRA DE SANTANA,-,Feira de Santana,BA,Centro Universitário,Privada,www.ftc.br
1461,CENTRO UNIVERSIÁRIO UNIFTC SALVADOR,-,Salvador,BA,Centro Universitário,Privada,www.ftc.br
1640,CENTRO UNIVERSITÁRIO AGES (UniAGES),UniAGES,Paripiranga,BA,Centro Universitário,Privada,www.faculdadeages.com.br
3921,CENTRO UNIVERSITÁRIO ARNALDO HORÁCIO FERREIRA,-,Luís Eduardo Magalhães,BA,Centro Universitário,Privada,www.faahf.edu.br
2067,Centro Universitário de Ciências e Empreendedorismo (UNIFACEMP),UNIFACEMP,Santo Antônio de Jesus,BA,Centro Universitário,Privada,www.facemp.edu.br
2085,CENTRO UNIVERSITÁRIO DE SALVADOR (UNICEUSA),UNICEUSA,Salvador,BA,Centro Universitário,Privada,https://www.uniceusa.edu.br/
3588,CENTRO UNIVERSITÁRIO DOM PEDRO II (UNIDOMPEDRO),UNIDOMPEDRO,Salvador,BA,Centro Universitário,Privada,www.unidom.com.br
2222,Centro Universitário do Rio São Francisco Unirios (UNIRIOS),UNIRIOS,Paulo Afonso,BA,Centro Universitário,Privada,www.unirios.edu.br
1058,Centro Universitário Estácio da Bahia (Estácio Bahia),Estácio Bahia,Salvador,BA,Centro Universitário,Privada,www.estacio.br
1170,Centro Universitário FAMEC (UNIFAMEC),UNIFAMEC,Camaçari,BA,Centro Universitário,Privada,www.famec.edu.br
2023,Centro Universitário FG (UNIFG),UNIFG,Guanambi,BA,Centro Universitário,Privada,http://centrouniversitariounifg.edu.br/
1185,CENTRO UNIVERSITÁRIO JORGE AMADO (UNIJORGE),UNIJORGE,Salvador,BA,Centro Universitário,Privada,http://www.unijorge.edu.br
2474,CENTRO UNIVERSITÁRIO MARIA MILZA (UNIMAM),UNIMAM,Cruz das Almas,BA,Centro Universitário,Privada,www.famam.com.br
1055,Centro Universitário Maurício de Nassau de Salvador (Uninassau Salvador),Uninassau Salvador,Salvador,BA,Centro Universitário,Privada,www.uninassau.edu.br
1718,CENTRO UNIVERSITÁRIO NOBRE DE FEIRA DE SANTANA,-,Feira de Santana,BA,Centro Universitário,Privada,www.fan.com.br
396,Centro Universitário Ruy Barbosa Wyden (UniRuy Wyden),UniRuy Wyden,Salvador,BA,Centro Universitário,Privada,www.wyden.com.br/frb
1227,CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS,-,Barreiras,BA,Centro Universitário,Privada,www.fasb.edu.br
3962,CENTRO UNIVERSITÁRIO SENAI CIMATEC (SENAI CIMATEC),SENAI CIMATEC,Salvador,BA,Centro Universitário,Privada,http://www.senaicimatec.com.br
1641,CENTRO UNIVERSITÁRIO SOCIAL DA BAHIA (UNISBA),UNISBA,Salvador,BA,Centro Universitário,Privada,www.unisba.edu.br
2076,CENTRO UNIVERSITÁRIO UNIRB (UNIRB),UNIRB,Salvador,BA,Centro Universitário,Privada,www.unirb.edu.br
3864,Centro Universitário UNIRB - Alagoinhas,-,Alagoinhas,BA,Centro Universitário,Privada,www.unirb.edu.br
534,ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA (EBMSP),EBMSP,Salvador,BA,Faculdade,Privada,www.bahiana.edu.br
21435,ESCOLA DE FORMAÇÃO COMPLEMENTAR DO EXÉRCITO (EsFCEx),EsFCEx,Salvador,BA,Instituição Especialmente Credenciada para oferta de cursos lato sensu,Publica,www.esfcex.ensino.eb.br
4531,FACULDADE ADVENTISTA DA BAHIA (FADBA),FADBA,Cachoeira,BA,Faculdade,Privada,www.adventista.edu.br
22093,Faculdade AGES de Medicina (Faculdade AGES),Faculdade AGES,Jacobina,BA,Faculdade,Privada,https://www.faculdadeages.com.br/jacobina
18296,Faculdade AGES de Tucano (Faculdade AGES),Faculdade AGES,Tucano,BA,Faculdade,Privada,https://www.faculdadeages.com.br/tucano/
22443,Faculdade Alfredo Nasser de Casa Nova (FAN),FAN,Casa Nova,BA,Faculdade,Privada,www.faculdadealfredonasser.edu.br
11862,FACULDADE ALFREDO NASSER DE REMANSO,-,Remanso,BA,Faculdade,Privada,www.unifan.edu.br
2944,FACULDADE ANHANGUERA DE ITABUNA,-,Itabuna,BA,Faculdade,Privada,www.facsul-ba.edu.br
1643,FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA (FAT),FAT,Feira de Santana,BA,Faculdade,Privada,www.fat.edu.br
1410,Faculdade Área1 Wyden (Área1 Wyden),Área1 Wyden,Salvador,BA,Faculdade,Privada,www.area1.edu.br
24471,FACULDADE ATENAS VALENÇA,-,Valença,BA,Faculdade,Privada,http://www.atenas.edu.br/site_atenas/
21616,FACULDADE ATUALIZA (ATUALIZA),ATUALIZA,Salvador,BA,Faculdade,Privada,http://www.atualizacursos.com.br/
3847,FACULDADE BAIANA DE DIREITO E GESTÃO,-,Salvador,BA,Faculdade,Privada,www.faculdadebaianadedireito.com.br
20537,FACULDADE BAIANA DO SENHOR DO BONFIM (FABASB),FABASB,Senhor do Bonfim,BA,Faculdade,Privada,www.fabasb.edu.br
23159,FACULDADE BARÃO DE JEQUIRIÇA (FBJ DIGITAL),FBJ DIGITAL,Valença,BA,Faculdade,Privada,www.fbjdigital.com.br
1302,FACULDADE BATISTA BRASILEIRA (FBB),FBB,Salvador,BA,Faculdade,Privada,www.fbb.br
17896,FACULDADE BRASILEIRA DE TECNOLOGIA (FBT),FBT,Feira de Santana,BA,Faculdade,Privada,www.fbt.net.br
19284,FACULDADE BRASILEIRA DO RECÔNCAVO (FBBR),FBBR,Cruz das Almas,BA,Faculdade,Privada,www.fbbr.com.br
1394,FACULDADE CASTRO ALVES (FCA),FCA,Salvador,BA,Faculdade,Privada,www.castroalves.br
16918,FACULDADE CATÓLICA DE FEIRA DE SANTANA,-,Feira de Santana,BA,Faculdade,Privada,catolicadefeira.com.br
10058,FACULDADE DA FRATERNIDADE DE VALENÇA (FFV),FFV,Valença,BA,Faculdade,Privada,www.ffv.edu.br
18636,Faculdade da Região Sisaleira (FARESI),FARESI,Conceição do Coité,BA,Faculdade,Privada,faresi.edu.br
152,FACULDADE DE CIÊNCIAS CONTÁBEIS (FACIC),FACIC,Salvador,BA,Faculdade,Privada,www.cairu.br
3216,FACULDADE DE CIÊNCIAS DA BAHIA - FACIBA (FACIBA),FACIBA,Salvador,BA,Faculdade,Privada,www.faciba.com.br
2753,Faculdade de Ciências Educacionais de Capim Grosso (FCG),FCG,Capim Grosso,BA,Faculdade,Privada,www.faculdadecapimgrosso.com.br
5473,FACULDADE DE CIÊNCIAS E TECNOLOGIA DA BAHIA (FACITE),FACITE,Santa Maria da Vitória,BA,Faculdade,Privada,www.facite-edu.com
1572,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS (FACISA),FACISA,Itamaraju,BA,Faculdade,Privada,www.facisaba.com.br
22086,Faculdade de Educação Social da Bahia (FAESB),FAESB,Valença,BA,Faculdade,Privada,https://faculdadefaesb.com.br/
2560,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA (FAESF/UNEF),FAESF/UNEF,Feira de Santana,BA,Faculdade,Privada,www.unef.edu.br
14996,FACULDADE DE GESTAO E NEGOCIOS DE SALVADOR (FGN),FGN,Salvador,BA,Faculdade,Privada,www.unirb.edu.br
13782,FACULDADE DE SANTA CRUZ DA BAHIA (FSC),FSC,Itaberaba,BA,Faculdade,Privada,www.fsc.edu.br
